Fecha,SR16643,SR16644,SR16645,SR16646,SR16647,SR16648,SR16649,SR16650,SR16651,SR16652,SR16674,SR16675,SR16676,SR16677,SR16678,SR16679,SR16680,SR16681,SR16682,SR16683,SR16684,SR16685,SR16686,SR16687,SR16688,SR16689
Ene-Mar 2016,18982622.1,1201011.6,17781610.5,599003.7,599003.7,5526800.7,626420.4,261646.5,1390547.6,3248186.2,11655806,1702048.9,1697894.5,1148395.6,328607.5,710914.2,2065090.9,343969,110643.9,648513.5,766408.1,438998,80520.4,457022.4,392181.6,764597.6
Abr-Jun 2016,19974677.8,1254327.7,18720350.1,703771.2,703771.2,5831192.1,697663.6,275720,1471063.5,3386745,12185386.8,1891500,1806691.1,1196227.4,327274.2,710801.3,2126787.4,405364.2,110726,663555,791916.6,433261.7,84513.1,449521.2,397585.9,789661.7
Jul-Sep 2016,20155267.5,1344682.5,18810585,571019.5,571019.5,6022644,757182.5,313664.6,1504561.9,3447235,12216921.5,1869441.8,1836783.2,1211858.1,335464.3,748056.1,2119896.2,390347.8,114045.1,647308.9,777725.9,458364.2,93451.5,463314.3,402146,748718
Oct-Dic 2016,21359836.3,1233446.1,20126390.2,821478.4,821478.4,6355388.4,836849,341829.1,1598644.3,3578066,12949523.5,1983020.6,2119520,1252888.8,358182.9,808218.8,2146575.4,427816.7,113660.8,718878.1,813681.8,452821.3,82559.8,471039.3,411773.5,788885.7
Ene-Mar 2017,21268238.8,1181791.3,20086447.6,665608.5,665608.5,6704757.9,938581.3,388343.4,1592333.3,3785499.9,12716081.2,1907021.9,1929375.9,1266035.7,333231.4,821409.5,2193507.4,388001.1,117527.6,694334.6,822242.4,460513.8,84532.5,480354,415672.4,802321
Abr-Jun 2017,21786194.8,1222926.3,20563268.6,781099.4,781099.4,6635623.9,847383.2,432258.5,1596299.9,3759682.3,13146545.3,2033427.7,2031609.8,1328573.9,342720.8,823480.3,2212109.8,434462,124433.1,709374.6,825007,462424.9,90900.7,508604.5,413143,806273.2
Jul-Sep 2017,21687580.3,1342074.8,20345505.6,623935.1,623935.1,6655780.6,837947.3,456827.4,1631364.2,3729641.6,13065789.8,2076060.3,1953469.6,1329144.6,359681.5,857110.9,2179458.4,380501.6,122753.5,728016.7,797600,490338.5,98197,511188.8,422823.1,759445.1
Oct-Dic 2017,22846350.8,1087780.3,21758570.5,896657.6,896657.6,6953707.6,972002.6,459115.8,1710966.9,3811622.2,13908205.4,2205934.8,2284369.5,1381312.1,384777.3,904990.5,2192113.2,421062.6,123048.2,790516.7,867977.4,483290.6,87707.2,514223.7,433317.2,833564.4
Ene-Mar 2018,22614908.2,1316523.2,21298385.1,740472.1,740472.1,7024725.4,1021728.2,427975,1719295.8,3855726.4,13533187.6,2048265.1,2093218.2,1366817.7,344739.8,896977.8,2260287.6,392847.2,120440.2,748302.8,853590.7,493593.2,86929.7,513496.6,425106.2,888574.9
Abr-Jun 2018,23585688,1245945.6,22339742.3,803409.8,803409.8,7401035.6,1078077.5,467680,1769644.1,4085634.1,14135296.9,2201252.4,2200389.4,1448355.3,366219.9,901356.7,2311958.1,453431.3,132421.4,782906.9,876216.6,492828.3,92376.8,525263.6,425166.5,925153.7
Jul-Sep 2018,23399946.8,1196399.5,22203547.3,638077.2,638077.2,7486716.8,1073061.7,527466.5,1822037.6,4064150.9,14078753.3,2224585.1,2162367.5,1447893,378349.3,968977.6,2279058.9,410973.1,129554.7,791371.2,838742.1,527380.9,103366,537061.3,430657.1,848415.2
Oct-Dic 2018,24469888.5,1164274.5,23305614,968882.7,968882.7,7458353.1,1015409,499914,1858663.7,4084366.3,14878378.2,2366028.3,2468728.4,1493518.2,407838.4,1024952.2,2291556.6,455277.2,127322.8,846021.7,913874.1,514535.8,90722.2,538962.4,442889.9,896150.1
Ene-Mar 2019,24039996.6,1499948.3,22540048.3,804360.6,804360.6,7337617.5,958463.8,466330.4,1837485,4075338.2,14398070.2,2149355.5,2240780.6,1441640,347056,994596.8,2361717.2,430118.7,121697.6,825004.9,906517.8,521372.9,87404.7,528535.3,442146.7,1000125.5
